EvseId,Created,ExternalId,DurationSeconds,VolumeKwh,TariffCode,WholesaleCost
NL-GFX-ENL-GFX-RD00272-1,2022-11-03 15:17:31.0030000,NLGFX638030555724372606-55aab,29877,21.8400,A2,6.5500
NL-GFX-EJLZ-J0034-1,2022-08-22 08:56:46.9680000,NLGFX637967427428956869-21f7a,12666,12.4800,A2,3.7400
NULL,2016-05-03 09:13:45.3166667,950587,31866,5.7801,A2,1.7400
NL-GFX-ENL-GFX-RD00272-2,2022-11-09 16:20:05.6370000,NLGFX638035699179886022-f9168,37688,25.4000,A2,7.6200
NL-GFX-ENL-GFX-RD00272-1,2022-05-31 18:15:29.9550000,NLGFX637896028728775288-2cd88,14857,18.5900,A2,5.5800
NULL,2016-03-03 18:28:50.2300000,851753-v1-ea771ac623fe46dd8cedc14834abc570,34186,9.5300,A2,2.8600
NL-GFX-ENL_GFX_A0017-2,2022-09-21 17:12:43.6220000,NLGFX637993684215778109-1a334,8745,26.4500,A2,7.9400
NULL,2016-02-03 22:37:30.2800000,1601742262,13796,7.8700,A2,2.3600
NL-GFX-ENL-GFX-RD00274-1,2022-04-20 15:07:54.2256998,NLGFX637860348068941240-de29f,29267,0.0500,A2,0.0200
NULL,2016-04-04 08:50:37.3100000,893148,34226,9.3501,A2,2.8100
NL-GFX-ENL-GFX-RD00272-2,2022-08-22 12:59:08.9160000,NLGFX637967642955523730-0b08c,5652,17.1700,A2,5.1500
NL-GFX-ENL-GFX-RD00298-1,2022-05-24 14:47:45.5720000,NLGFX637889706585323267-6906b,29806,23.7500,A2,7.1300
NULL,2016-04-04 08:49:38.8566667,919385,35635,2.7001,A2,0.8100
NULL,2016-06-02 15:27:26.6466667,GFX-20160602044843.769,38326,9.6600,A2,2.9000
NULL,2016-06-21 15:49:05.0300000,GFX-20160621060955.267,34753,9.3100,A2,2.7900
NULL,2016-04-04 08:49:51.3066667,911237,33677,1.5701,A2,0.4700
NULL,2016-05-03 09:14:17.9700000,955687,14189,7.2301,A2,2.1700
NULL,2016-06-03 11:56:44.6266667,GFX-20160603050233.838,24851,5.2800,A2,1.5800
NULL,2016-07-19 12:05:42.6033333,GFX-20160719050050.479,25497,4.9300,A2,1.4800
NULL,2016-05-31 13:43:18.7566667,GFX-20160531060419.804,27539,26.4300,A2,7.9300
NL-GFX-ENL-GFX-RD00265-1,2022-06-02 15:05:07.5970000,NLGFX637897476448421895-ee901,31463,8.5700,A2,2.5700
NL-GFX-ENL-GFX-RD00272-1,2022-11-04 11:17:56.5740000,NLGFX638031413514015764-db251,16125,25.9000,A2,7.7700
NULL,2016-07-01 15:46:06.0166667,GFX-20160701052902.194,37027,2.6200,A2,0.7900
NULL,2016-02-03 22:26:25.8100000,1601795963,23698,0.7600,A2,0.2300
NL-GFX-ENL-GFX-RD00265-2,2022-05-23 13:40:21.3980000,NLGFX637888803790741666-a3ec6,29642,6.8700,A2,2.0600
NL-GFX-ENL_GFX_A0017-1,2022-11-09 18:09:43.4560000,NLGFX638036046474549431-ac5f1,9543,9.5800,A2,2.8700
NL-GFX-ENL-GFX-RD00272-1,2022-09-01 14:10:02.0370000,NLGFX637976094520506067-36f3a,28749,18.9400,A2,5.6800
NL-GFX-ENL_GFX_A0017-2,2022-08-22 15:23:04.4490000,NLGFX637967441117493852-3a3a8,34472,8.9800,A2,2.6900
NULL,2016-05-03 09:13:24.9266667,952025,5058,4.5501,A2,1.3700
NL-GFX-ENL-GFX-RD00275-1,2022-05-10 14:36:57.6650000,NLGFX637877600105911413-42c18,30208,11.3700,A2,3.4100
NL-GFX-ENL_GFX_A0017-2,2022-04-25 14:09:49.9243093,NLGFX637864609564881689-b699b,31634,30.7400,A2,9.2200
NULL,2016-02-03 22:28:09.6866667,1601780780,28021,8.4701,A2,2.5400
NL-GFX-ENL-GFX-RD00274-1,2022-04-26 14:38:07.5780687,NLGFX637865501668652964-93fac,30518,0.0500,A2,0.0200
NL-GFX-ENL-GFX-RD00265-2,2022-08-24 12:55:51.5820000,NLGFX637969120165774016-545fb,30535,6.6000,A2,1.9800
NL-GFX-ENL_GFX_A0017-2,2022-08-26 13:52:20.2150000,NLGFX637970876096030686-481fe,31130,11.2500,A2,3.3800
NL-GFX-EJLZ-J0034-1,2022-06-13 15:42:24.3600000,NLGFX637906939474102948-34483,37796,10.8400,A2,3.2500
NL-GFX-ENL-GFX-RD00272-1,2022-06-03 14:58:03.9290000,NLGFX637898482756124703-0ecbb,16808,31.3900,A2,9.4200
NL-GFX-ENL_GFX_A0017-1,2022-08-02 11:13:24.7950000,NLGFX637950186672889790-4d5fa,16950,16.9500,A2,5.0900
NL-GFX-ENL-GFX-RD00265-2,2022-11-01 16:03:10.7600000,NLGFX638029013714142316-94f25,14019,4.0700,A2,1.2200
NL-GFX-EJLZ-J0034-1,2022-08-17 14:00:58.3880000,NLGFX637963184316143960-139aa,23228,46.5300,A2,13.9600
NL-GFX-ENL_GFX_A0017-2,2022-10-26 10:44:13.8260000,NLGFX638023585004545990-f0639,19355,18.8200,A2,5.6500
NULL,2016-04-04 08:49:53.1233333,911109,34034,2.6701,A2,0.8000
NL-GFX-ENL-GFX-RD00298-2,2022-06-17 12:30:25.4760000,NLGFX637910419492434533-aeedb,23875,4.7600,A2,1.4300
NULL,2016-08-01 15:06:59.5266667,GFX-20160801060606.316,32461,4.5700,A2,1.3700
NL-GFX-ENL-GFX-RD00274-2,2022-04-22 14:26:08.2876972,NLGFX637862077390650938-943a6,26629,23.2100,A2,6.9600
NL-GFX-ENL-GFX-RD00298-1,2022-05-19 10:58:07.7780000,NLGFX637885380380409288-fd35d,16651,16.8700,A2,5.0600
NULL,2016-05-03 09:14:12.4066667,945850,33265,7.0800,A2,2.1200
NULL,2016-03-03 18:31:55.7100000,804808,39753,6.9601,A2,2.0900
NL-GFX-ENL-GFX-RD00298-2,2022-10-18 14:58:56.9410000,NLGFX638016722797062055-be235,29656,5.0100,A2,1.5000
NL-GFX-ENL-GFX-RD00298-2,2022-05-09 15:15:27.8260000,NLGFX637876776490410080-e6c97,28478,2.6600,A2,0.8000
NL-GFX-ENL-GFX-RD00265-1,2022-04-13 10:48:05.7124876,NLGFX637854287427390721-aaa72,14943,3.3500,A2,1.0100
NULL,2016-07-01 14:07:52.3833333,GFX-20160701055037.759,29838,6.7600,A2,2.0300
NL-GFX-ENL-GFX-RD00298-2,2022-09-12 10:21:54.2850000,NLGFX637985559898315090-1f901,18924,17.5200,A2,5.2600
NL-GFX-ENL-GFX-RD00265-2,2022-07-28 15:38:28.4300000,NLGFX637945909586519260-caf30,28549,12.9500,A2,3.8900
NL-GFX-ENL_GFX_A0017-1,2022-07-22 08:35:50.5260000,NLGFX637940657969745662-e3ad1,9966,10.3000,A2,3.0900
NULL,2016-01-04 19:50:59.2133333,1512675876,62817,4.7700,A2,1.4300
NL-GFX-EJLZ-J0034-1,2022-09-07 15:26:43.7410000,NLGFX637981249225605071-9832d,36279,6.6200,A2,1.9900
NL-GFX-ENL-GFX-RD00298-1,2022-10-20 14:42:35.0570000,NLGFX638018401018331925-5dcb2,33653,32.0400,A2,9.6100
NULL,2016-06-15 14:11:08.3200000,GFX-20160615051537.811,32128,8.1000,A2,2.4300
NL-GFX-ENL-GFX-RD00298-1,2022-05-10 14:27:12.0020000,NLGFX637877671018939371-2e435,22531,18.8300,A2,5.6500
NULL,2016-07-13 16:21:15.2033333,GFX-20160713045302.170,41305,3.8300,A2,1.1500
NULL,2016-07-04 15:33:15.5533333,GFX-20160704054442.503,35315,6.7100,A2,2.0100
NULL,2016-07-05 14:20:15.8800000,GFX-20160705052746.290,31954,8.5300,A2,2.5600
NL-GFX-ENL-GFX-RD00274-1,2022-07-14 13:09:00.1710000,NLGFX637933776877695641-695a3,23251,0.0500,A2,0.0200
NL-GFX-ENL-GFX-RD00265-2,2022-06-01 10:27:22.2940000,NLGFX637896545266874709-23e62,21516,7.6800,A2,2.3000
NULL,2016-04-04 08:50:15.9366667,903333,30305,5.7801,A2,1.7400
NULL,2016-05-03 09:14:40.9833333,977010,24340,7.6701,A2,2.3000
NL-GFX-EJLZ-J0034-2,2022-06-13 12:55:07.3490000,NLGFX637906937964980153-58e7a,27920,27.5900,A2,8.2800
NL-GFX-ENL-GFX-RD00265-2,2022-04-26 14:49:38.5315507,NLGFX637865659702883434-7e244,15409,6.3000,A2,1.8900
NULL,2016-03-03 18:30:54.5366667,818995,31387,7.5701,A2,2.2700
NL-GFX-EJLZ-J0034-2,2022-07-18 13:33:25.1020000,NLGFX637937197604067897-cfd9f,28255,15.3700,A2,4.6100
NULL,2016-07-25 10:21:36.9266667,GFX-20160725052247.717,17937,5.1100,A2,1.5300
NL-GFX-ENL-GFX-RD00265-2,2022-10-04 14:56:40.1140000,NLGFX638004790673297282-fe5c0,13132,8.6200,A2,2.5900
NL-GFX-ENL-GFX-RD00272-2,2022-09-23 14:19:39.0880000,NLGFX637995125028142044-87f55,27075,9.7800,A2,2.9300
NL-GFX-ENL_GFX_A0017-2,2022-11-07 14:50:26.6710000,NLGFX638034197284127269-b09a4,9701,7.2500,A2,2.1800
NL-GFX-ENL-GFX-RD00265-2,2022-08-25 14:53:49.5520000,NLGFX637970034672561691-73be5,32562,1.2000,A2,0.3600
NL-GFX-ENL-GFX-RD00272-2,2022-08-29 15:32:50.1960000,NLGFX637973658294773933-38f81,18140,24.7400,A2,7.4200
NL-GFX-ENL-GFX-RD00272-1,2022-04-19 14:59:48.5586947,NLGFX637859477805776106-39df3,29407,23.3300,A2,7.0000
NL-GFX-ENL-GFX-RD00298-2,2022-11-11 13:36:12.4620000,NLGFX638037495453072924-6085f,21027,7.3200,A2,2.2000
NL-GFX-ENL-GFX-RD00274-1,2022-10-14 12:31:39.3360000,NLGFX638013271540526234-a79d0,20344,0.0200,A2,0.0100
NL-GFX-ENL-GFX-RD00265-2,2022-07-27 16:09:08.9600000,NLGFX637945006365525949-de6aa,34313,36.8100,A2,11.0400
NULL,2016-06-08 13:10:30.4233333,GFX-20160608050736.065,28973,5.4100,A2,1.6200
NULL,2016-04-04 08:52:05.5233333,863719,22374,7.6600,A2,2.3000
NL-GFX-EJLZ-J0034-2,2022-07-28 13:43:24.6120000,NLGFX637945831310700376-d9e18,29474,8.4400,A2,2.5300
NL-GFX-ENL-GFX-RD00275-1,2022-05-25 10:48:07.0080000,NLGFX637890570041601178-26546,15483,27.5700,A2,8.2700
NL-GFX-EJLZ-J0034-2,2022-08-18 11:15:03.8920000,NLGFX637963992715460740-6db31,18842,17.7700,A2,5.3300
NL-GFX-ENL_GFX_A0017-2,2022-09-08 14:17:37.1600000,NLGFX637982100697423048-64a12,33412,14.1700,A2,4.2500
